permendagri;pergub;penindakan;penindakan_rincian;enabled
PERMENDAGRI 27 TAHUN 2010;PERGUB 221/2009 dan PERGUB 2/2021;Peringatan;Peringatan;TRUE
PERMENDAGRI 27 TAHUN 2011;PERGUB 221/2009 dan PERGUB 2/2022;Peringatan;Penghalauan;TRUE
PERMENDAGRI 27 TAHUN 2012;PERGUB 221/2009 dan PERGUB 2/2023;Peringatan;Pembubaran;TRUE
PERMENDAGRI 27 TAHUN 2013;PERGUB 221/2009 dan PERGUB 2/2024;Peringatan;Pengusiran;TRUE
PERMENDAGRI 27 TAHUN 2014;PERGUB 221/2009 dan PERGUB 2/2025;Peringatan;Teguran Tertulis;TRUE
PERMENDAGRI 27 TAHUN 2015;PERGUB 221/2009 dan PERGUB 2/2026;Penutupan/Penyegelan;Penyegelan;TRUE
PERMENDAGRI 27 TAHUN 2016;PERGUB 221/2009 dan PERGUB 2/2027;Penutupan/Penyegelan;Penghentian Kegiatan;TRUE
PERMENDAGRI 27 TAHUN 2017;PERGUB 221/2009 dan PERGUB 2/2028;Penutupan/Penyegelan;Pembongkaran;TRUE
PERMENDAGRI 27 TAHUN 2018;PERGUB 221/2009 dan PERGUB 2/2029;Penutupan/Penyegelan;Pemusnahan;TRUE
PERMENDAGRI 27 TAHUN 2019;PERGUB 221/2009 dan PERGUB 2/2030;Penutupan/Penyegelan;Penghentian Kegiatan Sementara 1x24 Jam;TRUE
PERMENDAGRI 27 TAHUN 2020;PERGUB 221/2009 dan PERGUB 2/2031;Penutupan/Penyegelan;Penghentian Kegiatan Sementara 3x24 Jam;TRUE
PERMENDAGRI 27 TAHUN 2021;PERGUB 221/2009 dan PERGUB 2/2032;Penutupan/Penyegelan;Penghentian Kegiatan Sementara 7x24 Jam;TRUE
PERMENDAGRI 27 TAHUN 2022;PERGUB 221/2009 dan PERGUB 2/2033;Penutupan/Penyegelan;Ditertibkan;TRUE
PERMENDAGRI 27 TAHUN 2023;PERGUB 221/2009 dan PERGUB 2/2034;Penutupan/Penyegelan;Bongkar Sendiri;TRUE
PERMENDAGRI 27 TAHUN 2024;PERGUB 221/2009 dan PERGUB 2/2035;Pencabutan izin;Pencabutan izin;TRUE
PERMENDAGRI 27 TAHUN 2025;PERGUB 221/2009 dan PERGUB 2/2036;Pencabutan izin;Pembekuan Sementara Izin;TRUE
PERMENDAGRI 27 TAHUN 2026;PERGUB 221/2009 dan PERGUB 2/2037;Yang lainnya;Razia;TRUE
PERMENDAGRI 27 TAHUN 2027;PERGUB 221/2009 dan PERGUB 2/2038;Yang lainnya;Penjemputan;TRUE
PERMENDAGRI 27 TAHUN 2028;PERGUB 221/2009 dan PERGUB 2/2039;Yang lainnya;Penangkapan;TRUE
PERMENDAGRI 27 TAHUN 2029;PERGUB 221/2009 dan PERGUB 2/2040;Yang lainnya;Penyitaan;TRUE
PERMENDAGRI 27 TAHUN 2030;PERGUB 221/2009 dan PERGUB 2/2041;Yang lainnya;Pembersihan;TRUE
PERMENDAGRI 27 TAHUN 2031;PERGUB 221/2009 dan PERGUB 2/2042;Yang lainnya;Pencopotan/Pelepasan/Pencabutan;TRUE
PERMENDAGRI 27 TAHUN 2032;PERGUB 221/2009 dan PERGUB 2/2043;Yang lainnya;Penyidikan;TRUE
PERMENDAGRI 27 TAHUN 2033;PERGUB 221/2009 dan PERGUB 2/2044;Yang lainnya;Kerja Sosial;TRUE
PERMENDAGRI 27 TAHUN 2034;PERGUB 221/2009 dan PERGUB 2/2045;Yang lainnya;Denda Administratif;TRUE
PERMENDAGRI 27 TAHUN 2035;PERGUB 221/2009 dan PERGUB 2/2046;Yang lainnya;Terbit Izin;TRUE
PERMENDAGRI 27 TAHUN 2036;PERGUB 221/2009 dan PERGUB 2/2047;Yang lainnya;Dikembalikan;TRUE
PERMENDAGRI 27 TAHUN 2037;PERGUB 221/2009 dan PERGUB 2/2048;Yang lainnya;Belum Ditertibkan;TRUE
PERMENDAGRI 27 TAHUN 2038;PERGUB 221/2009 dan PERGUB 2/2049;Yang lainnya;Lain-lain;TRUE
PERMENDAGRI 27 TAHUN 2039;PERGUB 221/2009 dan PERGUB 2/2050;Yang lainnya;Tidak di Temukan Pelanggaran;TRUE
