nama;enabled
Acara Sosial kemasyarakat;TRUE
Area Publik;TRUE
Warung Makan;TRUE
Restoran;TRUE
Rumah makan;TRUE
Kafe Mandiri;TRUE
Kafe/Bar/Resto;TRUE
Bar dan Resto;TRUE
Bengkel;TRUE
Hotel/Penginapan;TRUE
Karaoke;TRUE
Kelab Malam/Diskotek;TRUE
Pangkas Rambut / Salon;TRUE
Panti Pijat / Refleksi / SPA;TRUE
Pub/ Diskotik/ Klab Malam;TRUE
Laundry;TRUE
Mall / Pusat Perbelanjaan;TRUE
Pasar Tradisional;TRUE
Mini Market;TRUE
Pertokoan;TRUE
Toko Berdiri Sendiri;TRUE
Toko dalam Mall;TRUE
Toko dalam Pasar;TRUE
Usaha Lainnya;TRUE
PKM (PKL);TRUE
Pabrik/Industri;TRUE
Pergudangan;TRUE
Kantor Pemerintah;TRUE
Kantor Swasta;TRUE
BUMD;TRUE
BUMN;TRUE
