judul;pasal;jenis_penertiban;jenis_pelanggaran;enabled
PERDA NO 1 TAHUN 2014 TENTANG RENCANA DETAIL TATA RUANG DAN PERATURAN ZONASI;;;;TRUE
PERDA NO. 2 TAHUN 2011 TENTANG PENDAFTARAN PENDUDUK DAN CATATAN SIPIL;;;;TRUE
PERDA NO 5 TAHUN 1992 TENTANG PENAMPUNGAN DAN PEMOTONGAN UNGGAS DAN PEREDARAN DAGING UNGGAS DI DKI;;;;TRUE
PERDA NO 5 TAHUN 2014 TENTANG TRANSPORTASI;;;;TRUE
PERDA NO 6 TAHUN 2015 TENTANG KEPARIWISATAAN;;;;TRUE
PERDA NO 7 TAHUN 2010 TENTANG BANGUNAN GEDUNG;;;;TRUE
PERDA NO 8 TAHUN 2004 TENTANG PENGEDALIAN MUTU DAN KEMANAN KOMUNITAS HASIL PERTANIAN;;;;TRUE
PERDA NO 8 TAHUN 2008 TENTANG PENCEGAHAN DAN PENANGGULANGAN BAHAYA KEBAKARAN;;;;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 2 ayat 1;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Pejalan kaki wajib berjalan ditempat yg ditentukan;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 2 ayat 2;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Setiap orang diwajibkan menyebrang jalan di jembatan penyebrangan / zebra cross;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 2 ayat 3;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Setiap penumpang kendaraan umum diwajibkan menunggu di halte;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 2 ayat 4;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Setiap pengemudi kendaraan umum wajib menunggu, menaikkan dan/atau menurunkan orang dan/atau barang pada tempat pemberhentian yang telah ditentukan.;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 2 ayat 6;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Dilarang membuat, merakit atau mengoperasikan angkutan umum kendaraan jenis empat yang bermesin dua tak;TRUE
