NO;PASAL;PERDA;JENIS PENERTIBAN;JENIS PELANGGARAN
1;Pasal 2 ayat 1;PERDA NO. 8 TAHUN 2007;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Pejalan kaki wajib berjalan ditempat yg ditentukan
2;Pasal 2 ayat 2;PERDA NO. 8 TAHUN 2007;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Setiap orang diwajibkan menyebrang jalan di jembatan penyebrangan / zebra cross
3;Pasal 2 ayat 3;PERDA NO. 8 TAHUN 2007;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Setiap penumpang kendaraan umum diwajibkan menunggu di halte
4;Pasal 2 ayat 4;PERDA NO. 8 TAHUN 2007;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Setiap pengemudi kendaraan umum wajib menunggu, menaikkan dan/atau menurunkan orang dan/atau barang pada tempat pemberhentian yang telah ditentukan.
5;Pasal 2 ayat 6;PERDA NO. 8 TAHUN 2007;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Dilarang membuat, merakit atau mengoperasikan angkutan umum kendaraan jenis empat yang bermesin dua tak
6;Pasal 2 ayat 7;PERDA NO. 8 TAHUN 2007;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Kendaraan bermotor dua atau lebih dilarang memasuki jalur busway
7;Pasal 2 huruf 8;PERDA NO. 8 TAHUN 2007;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Dilarang membuat rakit, keramba, dan angkut
8;Pasal 3 huruf a;PERDA NO. 8 TAHUN 2007;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Dilarang menutup jalan tanpa izin
9;Pasal 3 huruf b;PERDA NO. 8 TAHUN 2007;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Dilarang membuat atau memasang portal tanpa izin
10;Pasal 3 huruf c;PERDA NO. 8 TAHUN 2007;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Dilarang membuat atau memasang tanggul tanpa izin
11;Pasal 3 huruf d;PERDA NO. 8 TAHUN 2007;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Dilarang membuat atau memasang pintu penutup jalan tanpa izin
12;Pasal 3 huruf e;PERDA NO. 8 TAHUN 2007;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Dilarang membuat, memasang, memindahkan atau membuat tidak berfungsinya rambu-rambu lalu lintas tanpa izin
13;Pasal 3 huruf f;PERDA NO. 8 TAHUN 2007;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Dilarang mmenutup terobosan atau putaran jalan tanpa izin
14;Pasal 3 huruf g;PERDA NO. 8 TAHUN 2007;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;"Dilarang membongkar trotoar dan memasang jalur pemisah, rambu-rambu lalu lintas, pulau-pulau jalan dan sejenisnya;"
